# Header: Project1::190709-NaCl-PAT-19-7-007 cleaned-Dil cleaned-Dil::All data::New Misorientation Profile Chart   2/12/2020
# 
Chart:  Misorientation Profile

Column 1: Distance [microns]
Column 2: Point-to-point Misorientation [degrees]
Column 3: Point-to-origin Misorientation [degrees]
0; 0; 0; 
9.99992; 0.271242; 0.271242; 
17.3206; 0.325057; 0.574713; 
26.4575; 0.29342; 0.677242; 
34.6409; 0.761562; 0.464781; 
43.589; 0.728468; 0.594132; 
51.9614; 0.191797; 0.44937; 
60.8277; 0.260947; 0.670272; 
69.282; 0.43341; 0.529341; 
78.1023; 0.649515; 0.90655; 
86.6025; 0.63489; 0.545364; 
95.3938; 0.397621; 0.542486; 
103.923; 0.187672; 0.417778; 
112.694; 0.48295; 0.850418; 
121.243; 0.666172; 0.481327; 
130; 0.25793; 0.381549; 
138.564; 0.655513; 0.634273; 
147.309; 0.901355; 1.04042; 
155.885; 0.914288; 0.333378; 
164.621; 0.417778; 0.288036; 
173.205; 0.537412; 0.427958; 
181.934; 0.65312; 0.930832; 
190.526; 0.855466; 0.966313; 
199.249; 0.397621; 1.16567; 
207.846; 1.31462; 0.185575; 
216.564; 0.741249; 0.629318; 
225.167; 0.316518; 0.880267; 
233.88; 0.758472; 0.642853; 
242.693; 0.453703; 0.729542; 
251.197; 0.325057; 1.02259; 
260; 0.704434; 0.901355; 
268.514; 0.99858; 1.52444; 
277.309; 0.275536; 1.34348; 
285.832; 0; 1.34348; 
294.618; 0.723076; 2.05652; 
303.15; 0.344917; 1.92214; 
311.929; 0; 1.92214; 
320.468; 1.89072; 0.539592; 
329.241; 0.983176; 0.983574; 
337.787; 0.769231; 0.240663; 
346.554; 0.195835; 0.432507; 
355.106; 0.373253; 0.379492; 
363.868; 0.523393; 0.681849; 
372.424; 0.460552; 0.783347; 
381.182; 0.0969133; 0.709967; 
389.743; 0.11535; 0.619288; 
398.497; 0.584838; 0.65132; 
407.063; 0.703322; 0.65132; 
415.812; 0.531555; 0.395648; 
424.382; 0.187672; 0.251788; 
433.128; 0.247082; 0.362617; 
441.701; 0.957771; 1.21208; 
450.444; 0.618023; 1.21434; 
459.021; 0.495746; 0.740721; 
467.76; 0.545364; 0.421509; 
476.34; 0.658491; 0.777329; 
485.077; 0.429783; 0.445872; 
493.862; 0.612936; 0.912574; 
502.394; 0.633038; 1.14124; 
511.175; 0.889115; 0.553201; 
